Costo,Tiempo
434.27951787930283,0.004361152648925781
473.78630998926667,0.0036568641662597656
118.43920743558255,0.004798173904418945
118.43847808966001,0.004518747329711914
236.8767308768568,0.004319190979003906
394.9006022345649,0.0038564205169677734
612.0399499520589,0.003818511962890625
414.5451011832004,0.0048754215240478516
455.5334256310788,0.004232168197631836
633.2936814015461,0.004193305969238281
633.2936812523003,0.0048754215240478516
534.5004683265837,0.0041582584381103516
335.57830057510705,0.003909111022949219
414.5454964471351,0.004180192947387695
236.87699261276595,0.004932403564453125
513.2468215381214,0.004120588302612305
473.78635247379725,0.003772735595703125
473.78649570209586,0.0046083927154541016
533.4759767970525,0.0053288936614990234
513.338483831798,0.0047495365142822266
217.13990891210813,0.0040590763092041016
476.7874829372165,0.006007671356201172
296.1073140908889,0.003981113433837891
534.5004682576813,0.004683256149291992
238.39375474105304,0.004508018493652344
476.7874829372165,0.005593776702880859
355.3479612104389,0.00555872917175293
534.5004692018796,0.004766225814819336
217.13973790177621,0.004404544830322266
335.5780559627751,0.004542112350463867
